,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
181,182,Female,32,97,86,2,3
182,183,Male,46,98,15,2,2
183,184,Female,29,98,88,2,3
184,185,Female,41,99,39,2,2
185,186,Male,30,99,97,2,3
186,187,Female,54,101,24,2,2
187,188,Male,28,101,68,2,3
188,189,Female,41,103,17,2,2
189,190,Female,36,103,85,2,3
190,191,Female,34,103,23,2,2
191,192,Female,32,103,69,2,3
192,193,Male,33,113,8,2,2
193,194,Female,38,113,91,2,3
194,195,Female,47,120,16,2,2
195,196,Female,35,120,79,2,3
196,197,Female,45,126,28,2,2
197,198,Male,32,126,74,2,3
198,199,Male,32,137,18,2,2
199,200,Male,30,137,83,2,3
